id,Male_Primed_WIBR1,Naive_WIBR3_cl_12,Naive_WIBR2,Naive_WIN1_2,Male_Primed_iPS_NPC_4,Naive_WIBR3_cl_16,Male_Primed_iPS_NPC_13,Naive_WIN1_1
ENSG00000198727,69078,132524,90166,70905,60042,149997,51833,113285
ENSG00000198695,38468,78074,65191,25858,38569,72817,28372,38394
ENSG00000198786,91647,307773,270134,75922,96710,292416,97353,130736
ENSG00000212907,12707,54649,44019,12709,12137,60444,11358,24428
ENSG00000198840,6678,16965,20404,15088,6614,22081,8283,20073
ENSG00000198938,109155,308022,350830,132752,73650,338733,75814,176756
ENSG00000198763,63202,280125,251500,98257,56673,278733,74766,175223
ENSG00000198888,62285,188135,270706,128333,56068,173084,82139,197803
ENSG00000172288,0,0,0,0,0,0,0,0
ENSG00000187191,0,0,0,1,0,0,0,1
ENSG00000172352,0,0,0,0,0,0,0,0
ENSG00000188120,0,0,0,1,0,0,0,1
ENSG00000183753,0,1,0,0,0,0,0,0
ENSG00000169807,0,0,0,0,0,0,0,0
ENSG00000234414,0,0,0,1,0,0,0,0
ENSG00000242875,0,0,0,1,0,0,0,0
ENSG00000183146,7,3,2,1,4,1,5,4
ENSG00000012817,1850,2,4,922,2412,5,2484,1311
ENSG00000172468,1,0,1,0,2,1,1,1
ENSG00000129864,2,0,0,27,1,0,1,31
ENSG00000183878,204,10,11,31,311,6,282,37
ENSG00000067048,1111,2,1,42,1862,3,1225,62
ENSG00000114374,381,0,0,13,480,0,413,25
ENSG00000258992,0,0,0,1,0,0,0,1
ENSG00000228927,0,0,0,2,0,0,0,3
ENSG00000233803,0,0,0,7,0,0,0,4
ENSG00000092377,206,1,0,0,223,6,217,1
ENSG00000067646,106,0,0,18,70,0,48,19
ENSG00000129824,7562,0,4,10764,6347,0,7705,12378
ENSG00000185973,234,172,151,22,330,216,384,13
ENSG00000155962,9,10,9,1,8,21,4,3
ENSG00000155959,1093,643,485,124,1336,1534,1534,154
ENSG00000182712,261,351,429,188,258,347,335,194
ENSG00000277203,550,457,719,150,285,294,354,137
ENSG00000203870,0,0,0,0,0,0,0,0
ENSG00000160219,20,6,23,6,13,19,11,5
ENSG00000126890,0,887,7,1,0,972,0,3
ENSG00000269335,658,2833,4227,1183,535,2221,579,1427
ENSG00000071889,664,2263,2892,903,615,1555,636,1103
ENSG00000126903,339,1472,3871,797,252,983,294,962
ENSG00000102178,1315,7723,12047,2486,1239,5563,1294,2627
ENSG00000196976,481,2449,4416,1281,460,1859,585,1268
ENSG00000130827,1449,783,2484,645,1072,582,1034,862
ENSG00000071553,2425,11362,21791,5427,2166,8778,2185,6870
ENSG00000013563,305,550,691,178,334,346,440,328
ENSG00000196924,84678,127621,160650,32633,79655,66592,75170,48195
ENSG00000269433,0,0,0,0,0,0,1,0
ENSG00000166160,0,0,0,0,0,0,1,0
ENSG00000102076,0,0,0,0,0,0,1,0
ENSG00000184216,2819,6935,14653,2673,2665,5327,2726,3150
ENSG00000177854,138,309,186,31,134,248,166,50
ENSG00000172534,11178,17576,36363,13116,9081,13787,9490,18887
ENSG00000102032,86,704,3341,555,135,489,166,549
ENSG00000126895,2,1,21,0,5,1,6,2
ENSG00000067840,4610,183,1792,793,4427,135,4703,776
ENSG00000067829,987,4367,7645,2016,1068,3617,1147,2245
ENSG00000184343,68,66,351,74,60,42,46,85
ENSG00000101986,290,948,3585,864,282,652,272,1065
ENSG00000130821,5368,18264,71456,12054,4173,13773,4627,13754
ENSG00000130822,148,264,558,488,136,192,191,696
ENSG00000130829,253,121,987,354,59,98,80,457
ENSG00000262919,373,2553,4964,1567,332,1835,350,1414
ENSG00000067842,7,2,15,1,9,2,6,8
ENSG00000214897,0,1,1,0,0,0,0,1
