id,H1_EPSC_1,H1_EPSC_2,hiPSC_EPSC_1,hiPSC_EPSC_2
ENSG00000198727,13588,11664,18273,15381
ENSG00000198695,3797,3008,4156,3929
ENSG00000198786,12100,10065,13604,12488
ENSG00000212907,5873,4592,6405,5918
ENSG00000198840,5348,4603,6585,5984
ENSG00000198938,32054,26657,43494,39201
ENSG00000198763,24342,20565,26481,23741
ENSG00000198888,11616,9802,16195,14158
ENSG00000172288,0,0,0,0
ENSG00000187191,23,22,0,0
ENSG00000172352,0,0,0,0
ENSG00000188120,20,16,0,0
ENSG00000183753,0,0,0,0
ENSG00000169807,0,0,0,0
ENSG00000234414,1,0,0,0
ENSG00000242875,0,0,0,0
ENSG00000183146,4,1,0,0
ENSG00000012817,666,646,16,20
ENSG00000172468,1,1,0,1
ENSG00000129864,10,6,0,0
ENSG00000183878,152,172,6,8
ENSG00000067048,2699,2869,96,63
ENSG00000114374,1089,1042,127,108
ENSG00000258992,0,0,0,0
ENSG00000228927,0,0,0,0
ENSG00000233803,0,0,0,0
ENSG00000092377,68,67,47,29
ENSG00000067646,229,235,23,16
ENSG00000129824,2630,2629,0,1
ENSG00000185973,119,133,201,165
ENSG00000155962,4,10,6,7
ENSG00000155959,889,999,1332,1205
ENSG00000182712,50,51,85,85
ENSG00000277203,247,254,268,239
ENSG00000203870,0,0,0,0
ENSG00000160219,19,11,10,5
ENSG00000126890,3,2,0,1
ENSG00000269335,235,247,304,279
ENSG00000071889,201,212,271,252
ENSG00000126903,177,213,191,169
ENSG00000102178,616,604,846,740
ENSG00000196976,427,461,499,423
ENSG00000130827,327,303,414,397
ENSG00000071553,908,1028,1418,1219
ENSG00000013563,69,88,108,122
ENSG00000196924,19723,19541,26935,22823
ENSG00000269433,0,0,0,0
ENSG00000166160,0,0,0,0
ENSG00000102076,0,0,0,0
ENSG00000184216,464,458,1214,998
ENSG00000177854,18,23,48,35
ENSG00000172534,3190,3203,4408,3862
ENSG00000102032,153,161,208,150
ENSG00000126895,3,4,3,2
ENSG00000067840,2345,2212,2587,2238
ENSG00000067829,433,473,637,535
