id,E14_EPSCM,AB2_EPSCM
ENSMUSG00000064370,51219,14699
ENSMUSG00000064367,31736,8256
ENSMUSG00000065947,5350,1071
ENSMUSG00000064360,11736,7633
ENSMUSG00000064358,112224,69063
ENSMUSG00000064345,28354,9568
ENSMUSG00000095366,114,3
ENSMUSG00000096178,0,0
ENSMUSG00000100608,0,0
ENSMUSG00000102045,0,0
ENSMUSG00000099856,0,0
ENSMUSG00000100240,0,0
ENSMUSG00000094660,0,0
ENSMUSG00000095153,0,0
ENSMUSG00000099740,0,1
ENSMUSG00000095867,0,0
ENSMUSG00000099792,0,2
ENSMUSG00000096898,0,0
ENSMUSG00000094647,0,0
ENSMUSG00000101146,0,0
ENSMUSG00000094507,0,0
ENSMUSG00000096902,0,0
ENSMUSG00000101725,0,1
ENSMUSG00000099530,0,0
ENSMUSG00000095634,0,0
ENSMUSG00000096666,0,0
ENSMUSG00000093993,2,6
ENSMUSG00000100856,0,1
ENSMUSG00000093950,0,0
ENSMUSG00000101399,0,0
ENSMUSG00000101155,4,3
ENSMUSG00000095606,0,1
ENSMUSG00000102122,0,1
ENSMUSG00000100972,0,1
ENSMUSG00000094170,0,1
ENSMUSG00000095353,0,0
ENSMUSG00000094181,0,0
ENSMUSG00000096120,0,0
ENSMUSG00000095452,0,0
ENSMUSG00000096885,0,0
ENSMUSG00000093895,1,0
ENSMUSG00000100485,0,0
ENSMUSG00000094575,0,0
ENSMUSG00000095793,0,0
ENSMUSG00000095263,0,0
ENSMUSG00000100467,0,0
ENSMUSG00000101158,0,1
ENSMUSG00000094911,0,0
ENSMUSG00000103919,0,0
ENSMUSG00000093848,0,0
ENSMUSG00000102668,0,0
ENSMUSG00000096819,0,0
ENSMUSG00000102739,0,0
ENSMUSG00000095365,0,0
ENSMUSG00000095520,0,0
ENSMUSG00000095900,0,0
ENSMUSG00000093883,0,0
ENSMUSG00000100231,0,0
ENSMUSG00000094838,0,0
ENSMUSG00000094813,0,0
ENSMUSG00000094867,0,0
ENSMUSG00000095860,0,0
ENSMUSG00000095242,0,0
ENSMUSG00000094773,0,0
ENSMUSG00000094679,0,0
ENSMUSG00000091077,0,0
ENSMUSG00000101053,0,0
ENSMUSG00000099861,0,0
ENSMUSG00000100939,0,0
ENSMUSG00000101243,0,0
ENSMUSG00000095148,0,0
ENSMUSG00000096036,2,1
ENSMUSG00000100634,0,0
ENSMUSG00000095693,0,0
ENSMUSG00000093987,16,14
ENSMUSG00000094511,5,4
ENSMUSG00000093918,13,11
ENSMUSG00000101667,0,1
ENSMUSG00000094658,11,14
ENSMUSG00000094881,0,0
ENSMUSG00000000103,60,75
ENSMUSG00000069044,32,17
ENSMUSG00000069045,1851,2518
ENSMUSG00000068457,523,1222
ENSMUSG00000069049,2781,3669
ENSMUSG00000093806,0,0
ENSMUSG00000095562,379,389
ENSMUSG00000025742,2951,3269
ENSMUSG00000040522,0,0
ENSMUSG00000049775,4353,3815
ENSMUSG00000040586,654,1021
ENSMUSG00000018589,0,2
ENSMUSG00000079600,0,0
ENSMUSG00000047757,252,557
ENSMUSG00000031380,153,150
ENSMUSG00000031379,448,689
ENSMUSG00000015401,0,0
ENSMUSG00000031373,43,131
ENSMUSG00000083695,0,0
ENSMUSG00000040808,2,2
ENSMUSG00000031357,830,1296
ENSMUSG00000038344,940,1366
ENSMUSG00000059493,110,52
ENSMUSG00000043518,2,0
ENSMUSG00000031293,4,7
ENSMUSG00000031295,428,417
ENSMUSG00000031299,6425,5185
ENSMUSG00000031303,293,519
ENSMUSG00000044150,871,1613
ENSMUSG00000041020,343,389
ENSMUSG00000031309,872,721
ENSMUSG00000025658,15,15
ENSMUSG00000055109,0,0
ENSMUSG00000057402,0,0
ENSMUSG00000025051,0,0
ENSMUSG00000059663,0,0
ENSMUSG00000050148,1450,527
ENSMUSG00000041658,513,834
ENSMUSG00000071665,42,70
ENSMUSG00000067215,81,96
ENSMUSG00000025333,10,3
ENSMUSG00000041096,475,762
ENSMUSG00000041133,3777,2138
ENSMUSG00000025257,67,111
ENSMUSG00000025260,1492,2676
ENSMUSG00000025261,11262,2879
ENSMUSG00000041229,1149,668
ENSMUSG00000025262,106,95
ENSMUSG00000041245,497,258
ENSMUSG00000025266,3270,5490
ENSMUSG00000025268,1837,3329
ENSMUSG00000025269,432,317
ENSMUSG00000041353,216,354
ENSMUSG00000031358,301,505
ENSMUSG00000094378,201,455
ENSMUSG00000094885,323,593
ENSMUSG00000079395,3,4
ENSMUSG00000041380,0,0
ENSMUSG00000041700,4,8
ENSMUSG00000041718,7977,8295
ENSMUSG00000085139,1,3
ENSMUSG00000031285,3,23
ENSMUSG00000067276,521,430
ENSMUSG00000085584,0,0
ENSMUSG00000047045,587,555
ENSMUSG00000031278,1531,2250
ENSMUSG00000042271,760,1373
ENSMUSG00000042282,1,1
ENSMUSG00000054667,7,3
ENSMUSG00000031273,5,2
ENSMUSG00000031429,666,1390
ENSMUSG00000031430,0,1
ENSMUSG00000031432,4215,8358
ENSMUSG00000042433,2,1
ENSMUSG00000031433,206,320
ENSMUSG00000047230,17,18
ENSMUSG00000098559,5,1
ENSMUSG00000031438,399,421
ENSMUSG00000051257,3454,5050
ENSMUSG00000025265,3218,1330
ENSMUSG00000042525,13,14
ENSMUSG00000031271,1,5
ENSMUSG00000059203,0,0
ENSMUSG00000031428,39,66
ENSMUSG00000043463,3,1
ENSMUSG00000031425,73,198
ENSMUSG00000018595,1,1
ENSMUSG00000049536,75,100
ENSMUSG00000042712,3443,5468
ENSMUSG00000079428,15,11
ENSMUSG00000054034,9,9
ENSMUSG00000047844,2473,2815
ENSMUSG00000057000,256,340
ENSMUSG00000042750,652,587
ENSMUSG00000048355,306,229
ENSMUSG00000072969,356,332
ENSMUSG00000031411,18,13
ENSMUSG00000031410,107,218
ENSMUSG00000054994,581,502
ENSMUSG00000067360,327,166
ENSMUSG00000079432,592,574
ENSMUSG00000052676,26,40
ENSMUSG00000009941,120,38
ENSMUSG00000050394,151,377
ENSMUSG00000033460,1034,1239
ENSMUSG00000031266,639,1361
ENSMUSG00000079435,16372,18818
ENSMUSG00000009596,409,243
ENSMUSG00000000223,14,23
ENSMUSG00000031262,797,1692
ENSMUSG00000033578,20,32
ENSMUSG00000031258,19,40
ENSMUSG00000031257,9,8
ENSMUSG00000031255,10,20
ENSMUSG00000067377,532,436
ENSMUSG00000031250,0,0
ENSMUSG00000034480,676,347
ENSMUSG00000049815,0,0
ENSMUSG00000094044,0,0
ENSMUSG00000094620,0,0
ENSMUSG00000095034,0,0
ENSMUSG00000079450,24,26
ENSMUSG00000055733,45,51
ENSMUSG00000083616,0,0
ENSMUSG00000034755,0,0
ENSMUSG00000100133,0,0
ENSMUSG00000100194,0,0
ENSMUSG00000067441,0,0
ENSMUSG00000082482,0,0
ENSMUSG00000072995,0,0
ENSMUSG00000050435,24,7
ENSMUSG00000025592,13,41
ENSMUSG00000034607,1,3
ENSMUSG00000025528,0,0
ENSMUSG00000025665,2299,2997
ENSMUSG00000073001,0,0
ENSMUSG00000093916,0,0
ENSMUSG00000031242,485,626
ENSMUSG00000050921,0,0
ENSMUSG00000049929,132,94
ENSMUSG00000047686,1,1
ENSMUSG00000073010,0,0
ENSMUSG00000073012,1,1
ENSMUSG00000062070,61549,120490
ENSMUSG00000033777,3,1
ENSMUSG00000033792,475,544
ENSMUSG00000031231,4809,6788
ENSMUSG00000031232,1226,1754
ENSMUSG00000031229,4464,2522
ENSMUSG00000073016,61,65
ENSMUSG00000046449,513,296
ENSMUSG00000031330,2,4
ENSMUSG00000031329,26,23
ENSMUSG00000032894,3,3
ENSMUSG00000067562,349,462
ENSMUSG00000073027,53,66
ENSMUSG00000081443,5,3
ENSMUSG00000067567,75,130
ENSMUSG00000051159,24,37
ENSMUSG00000031320,56247,73459
ENSMUSG00000051220,1274,1781
ENSMUSG00000079480,620,682
ENSMUSG00000049191,2,6
ENSMUSG00000079481,62,32
ENSMUSG00000046774,364,791
ENSMUSG00000045010,486,857
ENSMUSG00000034160,5672,5500
ENSMUSG00000031314,1981,2047
ENSMUSG00000031310,1368,1197
ENSMUSG00000031302,15,4
ENSMUSG00000079487,770,263
ENSMUSG00000090141,2,0
ENSMUSG00000042903,717,529
ENSMUSG00000009670,473,446
ENSMUSG00000019359,23,42
ENSMUSG00000034311,1258,1388
ENSMUSG00000060890,2,0
ENSMUSG00000015665,0,0
ENSMUSG00000067597,0,0
ENSMUSG00000031221,1784,3034
ENSMUSG00000051582,74,128
ENSMUSG00000059327,46,120
ENSMUSG00000034403,1187,1481
ENSMUSG00000031216,75,53
ENSMUSG00000034457,1727,2160
ENSMUSG00000045802,21,22
ENSMUSG00000031207,6659,3763
ENSMUSG00000057421,1529,1810
ENSMUSG00000035045,48,36
ENSMUSG00000035062,211,272
ENSMUSG00000109858,0,0
ENSMUSG00000031204,3,0
ENSMUSG00000050332,356,267
ENSMUSG00000071722,87,165
ENSMUSG00000071723,375,303
ENSMUSG00000043929,218,182
ENSMUSG00000081044,166,311
ENSMUSG00000035232,1229,1124
ENSMUSG00000062162,4,2
ENSMUSG00000061392,0,0
ENSMUSG00000031312,4,6
ENSMUSG00000057805,2,1
ENSMUSG00000073069,10,6
ENSMUSG00000079513,0,0
ENSMUSG00000035395,74,52
ENSMUSG00000035427,80,52
ENSMUSG00000025056,976,876
ENSMUSG00000035454,0,0
ENSMUSG00000025059,374,895
ENSMUSG00000035476,1107,472
ENSMUSG00000035491,15,26
ENSMUSG00000045103,773,933
ENSMUSG00000078315,0,0
ENSMUSG00000067679,0,0
ENSMUSG00000079521,0,0
ENSMUSG00000067684,0,0
ENSMUSG00000000003,0,0
ENSMUSG00000035725,539,378
ENSMUSG00000025246,2711,2389
ENSMUSG00000071738,0,0
ENSMUSG00000016382,837,485
ENSMUSG00000031197,4048,6149
ENSMUSG00000031403,6110,7782
ENSMUSG00000032750,53,63
ENSMUSG00000079531,1,1
ENSMUSG00000079532,22,21
ENSMUSG00000051706,1,1
ENSMUSG00000043715,0,0
ENSMUSG00000032806,214,118
ENSMUSG00000031398,295,138
ENSMUSG00000015291,2050,3764
ENSMUSG00000001964,2325,3634
ENSMUSG00000031328,11699,7348
ENSMUSG00000031397,126,79
ENSMUSG00000031393,532,487
ENSMUSG00000031388,1343,1832
ENSMUSG00000031372,0,1
ENSMUSG00000031374,4,6
ENSMUSG00000096966,662,336
ENSMUSG00000031365,898,625
ENSMUSG00000109368,15,5
ENSMUSG00000058147,432,1389
ENSMUSG00000078317,93,49
ENSMUSG00000067768,224,459
ENSMUSG00000073125,487,1904
ENSMUSG00000072479,276,762
ENSMUSG00000071745,40,70
ENSMUSG00000067771,34,80
ENSMUSG00000058328,395,1003
ENSMUSG00000057836,611,3744
ENSMUSG00000079845,197,470
ENSMUSG00000046287,9,17
ENSMUSG00000031347,941,1465
ENSMUSG00000031343,3,14
ENSMUSG00000043453,17,10
ENSMUSG00000031340,38,32
ENSMUSG00000033343,63,51
ENSMUSG00000053593,0,0
ENSMUSG00000035299,11740,66
ENSMUSG00000033361,151,129
ENSMUSG00000056380,16,2
ENSMUSG00000035776,535,875
ENSMUSG00000031337,158,235
ENSMUSG00000073139,666,674
ENSMUSG00000073141,0,0
ENSMUSG00000059690,1,0
ENSMUSG00000031189,21,2
ENSMUSG00000056815,3,2
ENSMUSG00000089996,89,151
ENSMUSG00000071748,217,284
ENSMUSG00000079578,19,10
ENSMUSG00000036790,2,0
ENSMUSG00000031181,5,1
ENSMUSG00000046699,13,16
ENSMUSG00000031194,0,0
ENSMUSG00000045330,53,90
ENSMUSG00000079583,0,0
ENSMUSG00000062949,572,280
ENSMUSG00000031139,481,759
ENSMUSG00000031138,0,0
ENSMUSG00000067860,1192,493
ENSMUSG00000036357,0,0
ENSMUSG00000079584,694,406
ENSMUSG00000031133,35,58
ENSMUSG00000031132,0,0
ENSMUSG00000031131,8,16
ENSMUSG00000031130,0,0
ENSMUSG00000067878,94,179
ENSMUSG00000060681,573,658
ENSMUSG00000061273,902,679
ENSMUSG00000064016,2,9
ENSMUSG00000073173,2,1
ENSMUSG00000035967,121,535
ENSMUSG00000073177,75,64
ENSMUSG00000031125,51,45
ENSMUSG00000067909,0,1
ENSMUSG00000094714,0,0
ENSMUSG00000059334,30,14
ENSMUSG00000067924,430,279
ENSMUSG00000067925,365,228
ENSMUSG00000036013,0,0
ENSMUSG00000036022,1394,2935
ENSMUSG00000061082,42,46
ENSMUSG00000025630,567,1602
ENSMUSG00000055653,1781,1703
ENSMUSG00000031118,54,74
ENSMUSG00000055780,601,504
ENSMUSG00000062184,353,226
ENSMUSG00000036109,84,87
ENSMUSG00000050029,1231,1363
ENSMUSG00000036131,0,0
ENSMUSG00000031112,123,367
ENSMUSG00000050504,1,0
ENSMUSG00000056281,11,23
ENSMUSG00000067971,16,10
ENSMUSG00000071764,0,0
ENSMUSG00000036198,27,9
ENSMUSG00000031109,229,678
ENSMUSG00000079606,36,22
ENSMUSG00000051209,0,0
ENSMUSG00000035651,0,0
ENSMUSG00000036932,1325,1368
ENSMUSG00000031103,427,158
ENSMUSG00000063785,1773,2809
ENSMUSG00000036985,763,362
ENSMUSG00000037005,108,80
ENSMUSG00000031099,113,252
ENSMUSG00000046615,0,0
ENSMUSG00000037086,0,2
ENSMUSG00000045284,630,160
ENSMUSG00000078320,0,0
ENSMUSG00000016150,2,4
ENSMUSG00000005696,1,0
ENSMUSG00000105993,116,83
ENSMUSG00000025862,2184,3312
ENSMUSG00000025860,1901,2085
ENSMUSG00000037475,1615,2578
ENSMUSG00000001986,359,352
ENSMUSG00000051361,0,0
ENSMUSG00000000355,541,693
ENSMUSG00000016534,5751,10473
ENSMUSG00000050197,842,699
ENSMUSG00000087403,138,127
ENSMUSG00000053909,86,52
ENSMUSG00000068173,0,0
ENSMUSG00000064137,0,1
ENSMUSG00000071767,22,20
ENSMUSG00000095180,2210,2638
ENSMUSG00000079629,7,5
ENSMUSG00000095510,0,0
ENSMUSG00000095741,7,0
ENSMUSG00000071770,23,8
ENSMUSG00000059626,1,0
ENSMUSG00000096788,4,2
ENSMUSG00000079633,2,0
ENSMUSG00000095698,8,6
ENSMUSG00000079636,0,0
ENSMUSG00000079637,21,18
ENSMUSG00000071771,0,3
ENSMUSG00000079638,43,20
ENSMUSG00000051827,180,170
ENSMUSG00000071773,233,333
ENSMUSG00000016427,1242,1442
ENSMUSG00000036572,536,462
ENSMUSG00000079641,12977,17877
ENSMUSG00000044400,1,1
ENSMUSG00000050379,516,679
ENSMUSG00000044149,677,464
ENSMUSG00000016319,18884,20936
ENSMUSG00000016239,117,85
ENSMUSG00000017057,644,1657
ENSMUSG00000031093,523,320
ENSMUSG00000095558,0,0
ENSMUSG00000094564,0,0
ENSMUSG00000078324,0,0
ENSMUSG00000095934,0,0
ENSMUSG00000101500,0,0
ENSMUSG00000094115,0,0
ENSMUSG00000094211,0,0
ENSMUSG00000099711,0,0
ENSMUSG00000093857,0,0
ENSMUSG00000095770,2,0
ENSMUSG00000094391,0,0
ENSMUSG00000095887,3,2
