Name,piPSC_EPSC_2,PEF_1,piPSC_EPSC_1,pParEPSC_2,pParEPSC_1,pEPSC_1,pEPSC_2,PEF_2
ENSSSCG00000035795,675,384,803,521,519,775,843,429
ENSSSCG00000032983,9,2,21,15,16,9,17,1
ENSSSCG00000032001,34,20,40,22,29,30,22,23
ENSSSCG00000033522,0,0,0,0,0,0,0,0
ENSSSCG00000040299,0,0,0,0,0,0,0,0
ENSSSCG00000032089,0,0,0,0,0,0,0,0
ENSSSCG00000031446,0,0,0,0,4,4,0,0
ENSSSCG00000036564,469,252,545,292,349,471,384,267
ENSSSCG00000031997,242,105,270,230,237,196,196,134
ENSSSCG00000039018,0,0,0,0,0,0,0,0
ENSSSCG00000040031,0,1,0,2,0,1,0,17
ENSSSCG00000036300,0,0,0,0,0,0,0,0
ENSSSCG00000035743,0,0,0,0,0,0,0,0
ENSSSCG00000039880,18,20,33,23,21,15,20,22
ENSSSCG00000034802,16,22,18,13,8,13,12,24
ENSSSCG00000036235,0,0,0,0,0,0,0,0
ENSSSCG00000031254,0,0,0,0,0,0,0,0
ENSSSCG00000035833,22,0,41,109,61,37,80,2
ENSSSCG00000033783,0,0,0,1,0,0,0,0
ENSSSCG00000032578,58,31,56,20,35,28,39,50
ENSSSCG00000038676,0,0,0,0,0,0,0,0
ENSSSCG00000035750,14,2,16,12,14,11,8,13
ENSSSCG00000040090,0,0,0,0,0,0,0,0
ENSSSCG00000036378,0,0,0,0,0,0,0,0
ENSSSCG00000037345,0,0,0,0,0,0,0,0
ENSSSCG00000033627,660,687,727,971,672,701,1270,958
ENSSSCG00000039010,3,22,5,6,4,2,8,5
ENSSSCG00000034334,0,0,0,0,0,0,0,0
ENSSSCG00000040039,0,0,0,0,0,0,0,0
ENSSSCG00000036940,37,7,32,28,33,56,35,6
ENSSSCG00000037538,0,0,0,0,0,0,0,0
ENSSSCG00000033187,0,0,1,0,0,1,0,0
ENSSSCG00000037507,54,73,91,42,55,86,86,72
ENSSSCG00000033121,22,5,26,42,16,9,17,10
ENSSSCG00000033594,19,4,19,15,13,11,8,2
ENSSSCG00000036232,0,0,0,0,0,0,0,0
ENSSSCG00000032680,8,0,3,10,12,5,9,0
ENSSSCG00000034110,28,12,30,23,32,51,9,21
ENSSSCG00000036692,0,0,0,0,0,0,0,0
ENSSSCG00000038630,195,116,196,129,220,264,268,127
ENSSSCG00000038683,0,0,0,0,0,0,0,0
ENSSSCG00000039583,0,0,0,0,0,0,0,1
ENSSSCG00000038851,8,0,5,30,20,7,6,5
ENSSSCG00000033640,0,0,0,0,0,0,0,0
ENSSSCG00000037873,0,0,0,0,0,0,0,0
ENSSSCG00000035970,0,0,0,0,0,0,0,0
ENSSSCG00000037755,103,63,99,51,107,137,106,66
ENSSSCG00000035014,0,0,1,0,0,0,0,0
ENSSSCG00000034369,57,6,75,25,27,78,67,2
ENSSSCG00000040850,4,31,9,2,3,0,1,34
ENSSSCG00000034628,0,0,0,0,0,0,0,0
ENSSSCG00000036916,0,0,0,0,0,1,0,0
ENSSSCG00000031349,130,185,172,121,154,243,192,223
ENSSSCG00000031401,0,0,0,0,0,0,1,0
ENSSSCG00000040419,16,7,11,19,16,11,11,4
ENSSSCG00000040604,0,0,0,0,0,0,0,0
ENSSSCG00000037246,0,0,0,0,0,0,0,0
ENSSSCG00000038445,0,0,0,0,0,0,0,0
ENSSSCG00000034223,61,38,67,98,76,64,41,54
ENSSSCG00000031858,8,2,12,22,21,17,10,3
ENSSSCG00000040608,1431,273,1687,946,1071,1463,1754,400
ENSSSCG00000036752,0,0,0,0,0,0,0,0
ENSSSCG00000038627,0,0,0,0,0,0,1,0
ENSSSCG00000033916,0,0,0,0,0,0,0,0
ENSSSCG00000035459,0,0,2,0,0,0,0,0
ENSSSCG00000037469,0,0,0,0,0,0,0,0
ENSSSCG00000032806,78,60,86,70,72,118,154,102
ENSSSCG00000040927,0,0,0,0,0,0,0,0
ENSSSCG00000034189,616,353,728,772,868,1016,1554,413
ENSSSCG00000039960,0,0,0,0,0,0,0,0
ENSSSCG00000038035,1,1,0,1,1,2,0,0
ENSSSCG00000033714,0,0,0,0,0,0,0,0
ENSSSCG00000035147,260,472,397,238,196,165,289,479
ENSSSCG00000034904,0,0,0,0,0,0,0,0
ENSSSCG00000039849,12,0,12,21,13,7,0,0
ENSSSCG00000038026,485,593,481,353,389,419,375,619
ENSSSCG00000034871,0,1,0,0,0,0,0,0
ENSSSCG00000033954,868,276,1107,1349,1049,907,926,339
ENSSSCG00000035407,10,3,4,7,7,13,4,9
ENSSSCG00000039852,0,0,0,0,0,0,0,0
ENSSSCG00000032809,0,0,0,0,0,0,0,0
ENSSSCG00000036395,1,0,0,0,1,0,0,0
ENSSSCG00000039076,0,0,0,0,0,0,0,0
ENSSSCG00000031869,863,527,1033,641,823,951,1017,525
ENSSSCG00000039288,0,0,0,0,0,0,0,0
ENSSSCG00000037819,0,0,0,0,0,0,0,0
ENSSSCG00000034015,0,330,1,0,3,0,0,166
ENSSSCG00000040719,90,116,102,105,118,122,150,156
ENSSSCG00000037189,0,0,0,0,0,0,0,0
ENSSSCG00000037632,0,0,0,0,0,0,0,0
ENSSSCG00000039964,0,0,0,0,0,0,0,0
ENSSSCG00000033293,0,1,0,1,3,2,1,0
ENSSSCG00000039900,0,0,0,0,0,0,0,0
ENSSSCG00000039190,0,0,0,0,0,0,0,0
ENSSSCG00000033830,308,163,382,120,271,229,275,185
ENSSSCG00000039203,0,0,0,0,0,2,0,0
ENSSSCG00000031418,0,0,2,0,0,0,0,0
ENSSSCG00000035158,0,0,0,0,0,0,0,0
ENSSSCG00000037918,0,2,0,0,0,0,0,9
ENSSSCG00000032200,10,21,1,2,14,33,1,7
