scan_name,sample_title,study_reference,total_count,pc1,pc2,cells
SRR445718,Oocyte #1-C1,Yan et al 2013,25480666,-69.89717537837839,-37.710201669561094,Oocyte
SRR445719,Oocyte #1-C2,Yan et al 2013,23796967,-73.79375984590844,-39.38987629123332,Oocyte
SRR445720,Oocyte #1-C3,Yan et al 2013,19743496,-82.12352638552314,-43.383793044605554,Oocyte
SRR445721,Zygote #1-C1,Yan et al 2013,22548308,-77.36244729662178,-38.42055865991199,Zygote
SRR445722,Zygote #1-C2,Yan et al 2013,20949134,-80.35763931330146,-39.73072113378767,Zygote
SRR445723,Zygote #1-C3,Yan et al 2013,26504210,-70.65500734022719,-34.583565900006136,Zygote
SRR445724,2-cell #1-C1,Yan et al 2013,33077290,-60.247742901885076,-29.397124222315682,2-cell
SRR445725,2-cell #1-C2,Yan et al 2013,34436541,-59.13531519306988,-28.49077884492498,2-cell
SRR445726,2-cell #2-C1,Yan et al 2013,33411935,-59.82213727068961,-29.33749190939617,2-cell
SRR445727,2-cell #2-C2,Yan et al 2013,34580598,-59.13443484333804,-28.764520359574078,2-cell
SRR445728,2-cell #3-C1,Yan et al 2013,34036366,-57.982530965360674,-27.975309406579488,2-cell
SRR445729,2-cell #3-C2,Yan et al 2013,40960708,-49.97145146739746,-23.985885585425578,2-cell
SRR490961,4-cell embryo#1 -Cell#1,Yan et al 2013,37507135,-60.71938695545097,-22.496599663616774,4-cell embryo
SRR490962,4-cell embryo#1 -Cell#2,Yan et al 2013,35001499,-65.53802620779891,-23.02921057231694,4-cell embryo
SRR490963,4-cell embryo#1 -Cell#3,Yan et al 2013,26501861,-72.07219753980799,-29.338032580643418,4-cell embryo
SRR490964,4-cell embryo#1 -Cell#4,Yan et al 2013,23713613,-80.29277467316757,-33.34275855280722,4-cell embryo
SRR490965,4-cell embryo#2 -Cell#1,Yan et al 2013,43261321,-46.141255770476256,-7.9632740532721416,4-cell embryo
SRR490966,4-cell embryo#2 -Cell#2,Yan et al 2013,40846628,-54.23270030218323,-22.557988428048585,4-cell embryo
SRR490967,4-cell embryo#2 -Cell#3,Yan et al 2013,36164788,-52.22359942806331,-14.012036988423969,4-cell embryo
SRR490968,4-cell embryo#2 -Cell#4,Yan et al 2013,47724050,-46.80942356818317,-18.575501415586267,4-cell embryo
SRR490969,4-cell embryo#3 -Cell#1,Yan et al 2013,39977402,-54.39393231758699,-20.950392458407865,4-cell embryo
SRR490970,4-cell embryo#3 -Cell#2,Yan et al 2013,39377557,-59.0708529817975,-21.241970637186242,4-cell embryo
SRR490971,4-cell embryo#3 -Cell#3,Yan et al 2013,29532877,-68.64855936233448,-29.11233869628398,4-cell embryo
SRR490972,4-cell embryo#3 -Cell#4,Yan et al 2013,44433350,-51.31197983857599,-19.9670221908601,4-cell embryo
SRR490973,8-cell embryo#1 -Cell#1,Yan et al 2013,21359659,-13.049247733697747,47.92296949164717,8-cell embryo
SRR490974,8-cell embryo#1 -Cell#2,Yan et al 2013,18378589,-27.91950802032694,40.14675701352924,8-cell embryo
SRR490975,8-cell embryo#1 -Cell#3,Yan et al 2013,15889131,-35.05990342619565,34.388064075433924,8-cell embryo
SRR490976,8-cell embryo#1 -Cell#4,Yan et al 2013,24064745,-2.316398106208569,54.431941623696574,8-cell embryo
SRR490977,8-cell embryo#2 -Cell#1,Yan et al 2013,19167660,-12.733580456004342,47.5280820982848,8-cell embryo
SRR490978,8-cell embryo#2 -Cell#2,Yan et al 2013,22040354,-8.454990110001354,51.41026468551299,8-cell embryo
SRR490979,8-cell embryo#2 -Cell#3,Yan et al 2013,17971098,-19.395835541296623,41.68919104434938,8-cell embryo
SRR490980,8-cell embryo#2 -Cell#4,Yan et al 2013,23435974,-13.585931182411734,50.66300418791214,8-cell embryo
SRR490981,8-cell embryo#2 -Cell#5,Yan et al 2013,20494120,-62.788455220573105,6.41240747426985,8-cell embryo
SRR490982,8-cell embryo#2 -Cell#6,Yan et al 2013,20894491,-59.60636628366582,7.313586744518959,8-cell embryo
SRR490983,8-cell embryo#2 -Cell#7,Yan et al 2013,13100218,-79.65956418344572,-6.815402576709891,8-cell embryo
SRR490984,8-cell embryo#2 -Cell#8,Yan et al 2013,14726117,-75.386983955359,-3.310918097536912,8-cell embryo
