Gene stable ID	Gene name	Mouse gene stable ID	Mouse gene name	Mouse homology type
ENSG00000283891	MIR628			
ENSG00000251931	RNU6-871P	ENSMUSG00000088138	Gm22894	ortholog_one2one
ENSG00000207766	MIR626			
ENSG00000275323	AC012314.7			
ENSG00000276678	GHRLOS			
ENSG00000207260	RNU6-35P	ENSMUSG00000093999	Gm26501	ortholog_one2many
ENSG00000265993	MIR5694			
ENSG00000207185	RNU6-1157P	ENSMUSG00000087995	Gm25054	ortholog_many2many
ENSG00000207185	RNU6-1157P	ENSMUSG00000088234	Gm25423	ortholog_many2many
ENSG00000207185	RNU6-1157P	ENSMUSG00000088063	Gm24477	ortholog_many2many
ENSG00000283793	MIR6861			
ENSG00000201545	RNU4-85P	ENSMUSG00000098940	Gm27639	ortholog_many2many
ENSG00000201545	RNU4-85P	ENSMUSG00000065811	Gm24695	ortholog_many2many
ENSG00000283621	MIR6759			
ENSG00000264032	MIR4491			
ENSG00000207172	RNU6-1162P			
ENSG00000206629	RNU1-63P	ENSMUSG00000064476	Gm23405	ortholog_many2many
ENSG00000206629	RNU1-63P	ENSMUSG00000064677	Gm22809	ortholog_many2many
ENSG00000206629	RNU1-63P	ENSMUSG00000065718	Gm25650	ortholog_many2many
ENSG00000283558	hsa-mir-3158-1			
ENSG00000252735	RNU6-528P			
ENSG00000252319	Y_RNA			
ENSG00000201912	RN7SKP189			
ENSG00000274122	Metazoa_SRP			
ENSG00000200162	Y_RNA			
ENSG00000200163	SNORD115-18			
ENSG00000276764	Metazoa_SRP			
ENSG00000275994	SNORA24	ENSMUSG00000077360	Gm23482	ortholog_one2one
ENSG00000277950	Metazoa_SRP			
ENSG00000222308	RNA5SP198			
ENSG00000201965	Y_RNA			
ENSG00000252264	RNU7-153P			
ENSG00000200121	Y_RNA			
ENSG00000251770	RNA5SP486	ENSMUSG00000088132	Gm22586	ortholog_one2many
ENSG00000202217	RN7SKP47			
ENSG00000244748	RN7SL153P			
ENSG00000251972	RNU6-123P			
ENSG00000212607	SNORA3B	ENSMUSG00000077575	Gm24888	ortholog_one2many
ENSG00000283290	U6	ENSMUSG00000070214	Gm23058	ortholog_one2one
ENSG00000207321	RNU6-160P			
ENSG00000284185	MIR219A2			
ENSG00000263858	MIR4769			
ENSG00000283409	MIR3662			
ENSG00000264357	MIR4648			
ENSG00000264249	MIR3912			
ENSG00000239822	RN7SL754P			
ENSG00000274046	Y_RNA			
ENSG00000199879	RNU1-120P	ENSMUSG00000065027	Gm25201	ortholog_one2many
ENSG00000221763	MIR1289-1			
ENSG00000278618	MIR8069-2			
ENSG00000264075	MIR4783			
ENSG00000252076	RN7SKP196			
ENSG00000263510	MIR4497			
ENSG00000266555	MIR3145			
ENSG00000264986	MIR5092			
ENSG00000207924	MIR196A2			
ENSG00000243015	RN7SL737P			
ENSG00000207798	MIR216A			
ENSG00000268674	FAM231D			
ENSG00000264975	MIR4431			
ENSG00000201216	Y_RNA			
ENSG00000277845	RN7SKP175			
ENSG00000266663	MIR3169			
ENSG00000283664	MIR4679-1			
ENSG00000207122	RNU6-591P	ENSMUSG00000088622	Gm23316	ortholog_one2one
ENSG00000212238	RNA5SP244			
ENSG00000201489	Y_RNA			
ENSG00000277994	HOTAIR_3	ENSMUSG00000098572	Gm27443	ortholog_one2one
ENSG00000206917	RNU1-52P	ENSMUSG00000088913	Gm22611	ortholog_one2one
ENSG00000206722	RNU6-1074P	ENSMUSG00000064669	Gm24461	ortholog_one2one
ENSG00000222950	RN7SKP262			
ENSG00000244677	RN7SL706P			
ENSG00000277922	FTX_5	ENSMUSG00000099126	Gm27321	ortholog_one2one
ENSG00000222154	RN7SKP218			
ENSG00000277752	DLEU2_5	ENSMUSG00000098914	Gm27747	ortholog_one2many
ENSG00000272439	RNU6-91P	ENSMUSG00000096863	Gm22259	ortholog_one2many
ENSG00000241821	RN7SL170P			
ENSG00000265889	Y_RNA			
ENSG00000207194	RNU6-1026P			
ENSG00000273541	DLEU1_2	ENSMUSG00000099039	Gm27928	ortholog_one2one
ENSG00000202081	RNU6-1280P			
ENSG00000202515	VTRNA1-3	ENSMUSG00000064905	Gm25403	ortholog_many2many
ENSG00000202515	VTRNA1-3	ENSMUSG00000065145	Vaultrc5	ortholog_many2many
ENSG00000252305	SNORA74			
ENSG00000276253	AC243790.1			
ENSG00000221216	RNU6ATAC27P			
